0,14207888
1,3697222
2,2466704
3,1844319
4,1343280
5,2212895
6,7105243
7,19944865
8,41384183
9,30221225
10,30717132
11,38880664
12,59429253
13,63295962
14,53175803
15,52895938
16,57689794
17,66878149
18,47228990
19,32463563
20,25222392
21,21118586
22,17598073
23,11955678
