1,12,4566569
2,12,6892383
3,12,4764127
4,12,6970186
5,12,3665801
6,12,3796900
7,12,818396
8,12,771214
9,12,1600658
10,12,707162
11,12,537317
12,12,801385
13,12,1733397
14,12,1119177
15,12,2907191
16,12,4017066
17,12,2448358
18,12,1189681
19,12,589841
20,12,437723
21,12,630050
22,12,1580161
23,12,298094
24,12,891254
25,12,504336
26,12,946829
27,12,185004
28,12,918629
29,12,421522
30,12,505690
31,12,271375
32,12,916700
33,12,83218
34,12,95116
36,12,58630
37,12,32070
38,12,497632
39,12,150154
40,12,83314
42,12,10956
43,12,9732
44,12,4255
