1,0,Weekdays,551197
1,1,Weekdays,40268
1,2,Weekdays,23985
1,3,Weekdays,17845
1,4,Weekdays,15564
1,5,Weekdays,31746
1,6,Weekdays,93535
1,7,Weekdays,315518
1,8,Weekdays,785406
1,9,Weekdays,961269
1,10,Weekdays,1412930
1,11,Weekdays,2049579
1,12,Weekdays,3467338
1,13,Weekdays,3842688
1,14,Weekdays,2977212
1,15,Weekdays,2814361
1,16,Weekdays,2767563
1,17,Weekdays,2909456
1,18,Weekdays,2141553
1,19,Weekdays,1275294
1,20,Weekdays,886243
1,21,Weekdays,543597
1,22,Weekdays,356016
1,23,Weekdays,214357
2,0,Weekdays,701741
2,1,Weekdays,60858
2,2,Weekdays,42494
2,3,Weekdays,37476
2,4,Weekdays,27092
2,5,Weekdays,40451
2,6,Weekdays,153415
2,7,Weekdays,466515
2,8,Weekdays,1131229
2,9,Weekdays,1427147
2,10,Weekdays,2141369
2,11,Weekdays,3119586
2,12,Weekdays,5228940
2,13,Weekdays,5970696
2,14,Weekdays,4510381
2,15,Weekdays,4253044
2,16,Weekdays,4099516
2,17,Weekdays,3962501
2,18,Weekdays,2556222
2,19,Weekdays,1442408
2,20,Weekdays,992638
2,21,Weekdays,627586
2,22,Weekdays,429988
2,23,Weekdays,281168
3,0,Weekdays,912691
3,1,Weekdays,161582
3,2,Weekdays,92988
3,3,Weekdays,63101
3,4,Weekdays,46542
3,5,Weekdays,99855
3,6,Weekdays,252006
3,7,Weekdays,524264
3,8,Weekdays,1152569
3,9,Weekdays,1281469
3,10,Weekdays,1630490
3,11,Weekdays,2181433
3,12,Weekdays,3602579
3,13,Weekdays,3900170
3,14,Weekdays,3485716
3,15,Weekdays,3461687
3,16,Weekdays,3546933
3,17,Weekdays,3836066
3,18,Weekdays,3592753
3,19,Weekdays,3016269
3,20,Weekdays,2671827
3,21,Weekdays,2217678
3,22,Weekdays,1606135
3,23,Weekdays,1055398
4,0,Weekdays,1172385
4,1,Weekdays,198481
4,2,Weekdays,118836
4,3,Weekdays,88270
4,4,Weekdays,77107
4,5,Weekdays,122003
4,6,Weekdays,279352
4,7,Weekdays,762765
4,8,Weekdays,1665638
4,9,Weekdays,1997415
4,10,Weekdays,2729960
4,11,Weekdays,3564567
4,12,Weekdays,5250144
4,13,Weekdays,5807887
4,14,Weekdays,5034677
4,15,Weekdays,4945243
4,16,Weekdays,4900014
4,17,Weekdays,4981253
4,18,Weekdays,3988265
4,19,Weekdays,2859757
4,20,Weekdays,2317944
4,21,Weekdays,1917701
4,22,Weekdays,1422008
4,23,Weekdays,1056894
5,0,Weekdays,667560
5,1,Weekdays,96576
5,2,Weekdays,55906
5,3,Weekdays,53604
5,4,Weekdays,63314
5,5,Weekdays,135728
5,6,Weekdays,462898
5,7,Weekdays,1225986
5,8,Weekdays,2306228
5,9,Weekdays,1548569
5,10,Weekdays,1541175
5,11,Weekdays,1845467
5,12,Weekdays,2522460
5,13,Weekdays,2498573
5,14,Weekdays,2264891
5,15,Weekdays,2293307
5,16,Weekdays,2674539
5,17,Weekdays,3712666
5,18,Weekdays,2738203
5,19,Weekdays,1875588
5,20,Weekdays,1385537
5,21,Weekdays,1374798
5,22,Weekdays,1282529
5,23,Weekdays,743613
6,0,Weekdays,857116
6,1,Weekdays,107169
6,2,Weekdays,63134
6,3,Weekdays,43929
6,4,Weekdays,64604
6,5,Weekdays,182713
6,6,Weekdays,706693
6,7,Weekdays,1934084
6,8,Weekdays,4186468
6,9,Weekdays,2180468
6,10,Weekdays,1472334
6,11,Weekdays,1747705
6,12,Weekdays,3003703
6,13,Weekdays,3120638
6,14,Weekdays,2418334
6,15,Weekdays,2422602
6,16,Weekdays,3112454
6,17,Weekdays,4768462
6,18,Weekdays,2918357
6,19,Weekdays,1734259
6,20,Weekdays,1354628
6,21,Weekdays,1228826
6,22,Weekdays,1003953
6,23,Weekdays,739900
7,0,Weekdays,52013
7,1,Weekdays,28515
7,2,Weekdays,22076
7,3,Weekdays,24510
7,4,Weekdays,24130
7,5,Weekdays,37952
7,6,Weekdays,117688
7,7,Weekdays,282247
7,8,Weekdays,421594
7,9,Weekdays,261923
7,10,Weekdays,294514
7,11,Weekdays,314340
7,12,Weekdays,470764
7,13,Weekdays,519051
7,14,Weekdays,385373
7,15,Weekdays,343529
7,16,Weekdays,399910
7,17,Weekdays,673169
7,18,Weekdays,743601
7,19,Weekdays,511797
7,20,Weekdays,229368
7,21,Weekdays,236270
7,22,Weekdays,384991
7,23,Weekdays,253074
8,0,Weekdays,70656
8,1,Weekdays,4214
8,2,Weekdays,2432
8,3,Weekdays,1649
8,4,Weekdays,3364
8,5,Weekdays,32252
8,6,Weekdays,157210
8,7,Weekdays,374909
8,8,Weekdays,593556
8,9,Weekdays,250932
8,10,Weekdays,172163
8,11,Weekdays,228977
8,12,Weekdays,668754
8,13,Weekdays,583499
8,14,Weekdays,267342
8,15,Weekdays,254064
8,16,Weekdays,385927
8,17,Weekdays,700212
8,18,Weekdays,442276
8,19,Weekdays,196514
8,20,Weekdays,108176
8,21,Weekdays,77228
8,22,Weekdays,62760
8,23,Weekdays,32533
9,0,Weekdays,290842
9,1,Weekdays,8869
9,2,Weekdays,5011
9,3,Weekdays,4044
9,4,Weekdays,5708
9,5,Weekdays,73126
9,6,Weekdays,585685
9,7,Weekdays,1717617
9,8,Weekdays,3472087
9,9,Weekdays,1600585
9,10,Weekdays,624187
9,11,Weekdays,613646
9,12,Weekdays,1531046
9,13,Weekdays,1360449
9,14,Weekdays,759834
9,15,Weekdays,952768
