1,0,Weekends,381
1,1,Weekends,164
1,2,Weekends,118
1,3,Weekends,90
1,4,Weekends,50
1,5,Weekends,34
1,6,Weekends,42
1,7,Weekends,77
1,8,Weekends,217
1,9,Weekends,576
1,10,Weekends,1163
1,11,Weekends,1798
1,12,Weekends,2314
1,13,Weekends,2663
1,14,Weekends,2877
1,15,Weekends,2877
1,16,Weekends,2563
1,17,Weekends,1921
1,18,Weekends,1247
1,19,Weekends,779
1,20,Weekends,516
1,21,Weekends,396
1,22,Weekends,345
1,23,Weekends,247
2,0,Weekends,424
2,1,Weekends,194
2,2,Weekends,144
2,3,Weekends,111
2,4,Weekends,62
2,5,Weekends,42
2,6,Weekends,49
2,7,Weekends,93
2,8,Weekends,251
2,9,Weekends,686
2,10,Weekends,1405
2,11,Weekends,2147
2,12,Weekends,2691
2,13,Weekends,3011
2,14,Weekends,3227
2,15,Weekends,3279
2,16,Weekends,2914
2,17,Weekends,2062
2,18,Weekends,1015
2,19,Weekends,581
2,20,Weekends,452
2,21,Weekends,376
2,22,Weekends,334
2,23,Weekends,254
3,0,Weekends,868
3,1,Weekends,508
3,2,Weekends,330
3,3,Weekends,240
3,4,Weekends,107
3,5,Weekends,74
3,6,Weekends,82
3,7,Weekends,159
3,8,Weekends,295
3,9,Weekends,516
3,10,Weekends,844
3,11,Weekends,1271
3,12,Weekends,1897
3,13,Weekends,2321
3,14,Weekends,2402
3,15,Weekends,2395
3,16,Weekends,2255
3,17,Weekends,2209
3,18,Weekends,2134
3,19,Weekends,1904
3,20,Weekends,1712
3,21,Weekends,1449
3,22,Weekends,1172
3,23,Weekends,887
4,0,Weekends,1115
4,1,Weekends,648
4,2,Weekends,472
4,3,Weekends,359
4,4,Weekends,196
4,5,Weekends,127
4,6,Weekends,125
4,7,Weekends,206
4,8,Weekends,420
4,9,Weekends,892
4,10,Weekends,1560
4,11,Weekends,2227
4,12,Weekends,2801
4,13,Weekends,3136
4,14,Weekends,3238
4,15,Weekends,3245
4,16,Weekends,3047
4,17,Weekends,2635
4,18,Weekends,2028
4,19,Weekends,1672
4,20,Weekends,1450
4,21,Weekends,1292
4,22,Weekends,1131
4,23,Weekends,924
5,0,Weekends,617
5,1,Weekends,319
5,2,Weekends,243
5,3,Weekends,165
5,4,Weekends,78
5,5,Weekends,74
5,6,Weekends,89
5,7,Weekends,179
5,8,Weekends,366
5,9,Weekends,618
5,10,Weekends,1053
5,11,Weekends,1511
5,12,Weekends,1850
5,13,Weekends,2015
5,14,Weekends,1945
5,15,Weekends,1970
5,16,Weekends,1983
5,17,Weekends,1737
5,18,Weekends,1473
5,19,Weekends,1318
5,20,Weekends,1036
5,21,Weekends,1002
5,22,Weekends,1031
5,23,Weekends,695
6,0,Weekends,650
6,1,Weekends,316
6,2,Weekends,213
6,3,Weekends,149
6,4,Weekends,93
6,5,Weekends,82
6,6,Weekends,98
6,7,Weekends,195
6,8,Weekends,340
6,9,Weekends,587
6,10,Weekends,870
6,11,Weekends,1125
6,12,Weekends,1283
6,13,Weekends,1372
6,14,Weekends,1486
6,15,Weekends,1557
6,16,Weekends,1546
6,17,Weekends,1420
6,18,Weekends,1220
6,19,Weekends,1005
6,20,Weekends,877
6,21,Weekends,804
6,22,Weekends,748
6,23,Weekends,642
7,0,Weekends,139
7,1,Weekends,78
7,2,Weekends,55
7,3,Weekends,41
7,4,Weekends,35
7,5,Weekends,35
7,6,Weekends,60
7,7,Weekends,113
7,8,Weekends,217
7,9,Weekends,342
7,10,Weekends,441
7,11,Weekends,547
7,12,Weekends,731
7,13,Weekends,893
7,14,Weekends,782
7,15,Weekends,747
7,16,Weekends,876
7,17,Weekends,820
7,18,Weekends,821
7,19,Weekends,634
7,20,Weekends,377
7,21,Weekends,387
7,22,Weekends,665
7,23,Weekends,312
8,0,Weekends,26
8,1,Weekends,8
8,2,Weekends,4
8,3,Weekends,3
8,4,Weekends,2
8,5,Weekends,4
8,6,Weekends,17
8,7,Weekends,44
8,8,Weekends,77
8,9,Weekends,101
8,10,Weekends,130
8,11,Weekends,156
8,12,Weekends,168
8,13,Weekends,170
8,14,Weekends,173
8,15,Weekends,173
8,16,Weekends,168
8,17,Weekends,142
8,18,Weekends,112
8,19,Weekends,82
8,20,Weekends,50
8,21,Weekends,43
8,22,Weekends,45
8,23,Weekends,22
9,0,Weekends,40
9,1,Weekends,19
9,2,Weekends,12
9,3,Weekends,9
9,4,Weekends,6
9,5,Weekends,10
9,6,Weekends,30
9,7,Weekends,44
9,8,Weekends,66
9,9,Weekends,94
9,10,Weekends,121
9,11,Weekends,113
9,12,Weekends,112
9,13,Weekends,113
9,14,Weekends,121
9,15,Weekends,110
9,16,Weekends,113
9,17,Weekends,118
9,18,Weekends,121
9,19,Weekends,86
9,20,Weekends,62
9,21,Weekends,57
9,22,Weekends,65
9,23,Weekends,47
10,0,Weekends,64
10,1,Weekends,33
10,2,Weekends,19
10,3,Weekends,21
10,4,Weekends,7
10,5,Weekends,9
10,6,Weekends,16
10,7,Weekends,31
10,8,Weekends,53
10,9,Weekends,83
10,10,Weekends,108
10,11,Weekends,108
10,12,Weekends,112
10,13,Weekends,107
10,14,Weekends,104
10,15,Weekends,104
10,16,Weekends,122
10,17,Weekends,130
10,18,Weekends,136
10,19,Weekends,128
10,20,Weekends,91
10,21,Weekends,90
10,22,Weekends,99
10,23,Weekends,68
11,0,Weekends,70
11,1,Weekends,15
11,2,Weekends,7
11,3,Weekends,4
11,4,Weekends,3
11,5,Weekends,3
11,6,Weekends,8
11,7,Weekends,24
