1,0,805742,-37.8134944,144.9651532
1,1,118526,-37.8134944,144.9651532
1,2,79925,-37.8134944,144.9651532
1,3,60761,-37.8134944,144.9651532
1,4,39473,-37.8134944,144.9651532
1,5,48313,-37.8134944,144.9651532
1,6,113577,-37.8134944,144.9651532
1,7,352316,-37.8134944,144.9651532
1,8,888785,-37.8134944,144.9651532
1,9,1235227,-37.8134944,144.9651532
1,10,1965440,-37.8134944,144.9651532
1,11,2903794,-37.8134944,144.9651532
1,12,4566569,-37.8134944,144.9651532
1,13,5107625,-37.8134944,144.9651532
1,14,4343902,-37.8134944,144.9651532
1,15,4181362,-37.8134944,144.9651532
1,16,3985395,-37.8134944,144.9651532
1,17,3821936,-37.8134944,144.9651532
1,18,2734199,-37.8134944,144.9651532
1,19,1645671,-37.8134944,144.9651532
1,20,1131754,-37.8134944,144.9651532
1,21,731787,-37.8134944,144.9651532
1,22,520208,-37.8134944,144.9651532
1,23,331837,-37.8134944,144.9651532
2,0,1045235,-37.81380667,144.9651672
2,1,181316,-37.81380667,144.9651672
2,2,131726,-37.81380667,144.9651672
2,3,106624,-37.81380667,144.9651672
2,4,65557,-37.81380667,144.9651672
2,5,66965,-37.81380667,144.9651672
2,6,184262,-37.81380667,144.9651672
2,7,524146,-37.81380667,144.9651672
2,8,1286632,-37.81380667,144.9651672
2,9,1851325,-37.81380667,144.9651672
2,10,3009936,-37.81380667,144.9651672
2,11,4446750,-37.81380667,144.9651672
2,12,6892383,-37.81380667,144.9651672
2,13,7831518,-37.81380667,144.9651672
2,14,6504722,-37.81380667,144.9651672
2,15,6279524,-37.81380667,144.9651672
2,16,5900498,-37.81380667,144.9651672
2,17,5237333,-37.81380667,144.9651672
2,18,3183852,-37.81380667,144.9651672
2,19,1801762,-37.81380667,144.9651672
2,20,1272214,-37.81380667,144.9651672
2,21,859955,-37.81380667,144.9651672
2,22,636794,-37.81380667,144.9651672
2,23,438397,-37.81380667,144.9651672
3,0,1610909,-37.81105304,144.964248
3,1,472561,-37.81105304,144.964248
3,2,294425,-37.81105304,144.964248
3,3,210350,-37.81105304,144.964248
3,4,112338,-37.81105304,144.964248
3,5,145348,-37.81105304,144.964248
3,6,302614,-37.81105304,144.964248
3,7,621810,-37.81105304,144.964248
3,8,1333504,-37.81105304,144.964248
3,9,1597265,-37.81105304,144.964248
3,10,2147456,-37.81105304,144.964248
3,11,2959483,-37.81105304,144.964248
3,12,4764127,-37.81105304,144.964248
3,13,5321215,-37.81105304,144.964248
3,14,4955989,-37.81105304,144.964248
3,15,4927924,-37.81105304,144.964248
3,16,4927425,-37.81105304,144.964248
3,17,5188132,-37.81105304,144.964248
3,18,4898860,-37.81105304,144.964248
3,19,4181855,-37.81105304,144.964248
3,20,3719755,-37.81105304,144.964248
3,21,3104991,-37.81105304,144.964248
3,22,2323449,-37.81105304,144.964248
3,23,1598582,-37.81105304,144.964248
4,0,2071862,-37.81487988,144.9660878
4,1,596862,-37.81487988,144.9660878
4,2,408133,-37.81487988,144.9660878
4,3,309206,-37.81487988,144.9660878
4,4,197963,-37.81487988,144.9660878
4,5,200110,-37.81487988,144.9660878
4,6,356164,-37.81487988,144.9660878
4,7,889784,-37.81487988,144.9660878
4,8,1923902,-37.81487988,144.9660878
4,9,2545427,-37.81487988,144.9660878
4,10,3687810,-37.81487988,144.9660878
4,11,4931967,-37.81487988,144.9660878
4,12,6970186,-37.81487988,144.9660878
4,13,7733886,-37.81487988,144.9660878
4,14,7023283,-37.81487988,144.9660878
4,15,6937680,-37.81487988,144.9660878
4,16,6771139,-37.81487988,144.9660878
4,17,6599321,-37.81487988,144.9660878
4,18,5233577,-37.81487988,144.9660878
4,19,3886689,-37.81487988,144.9660878
4,20,3208569,-37.81487988,144.9660878
4,21,2711163,-37.81487988,144.9660878
4,22,2116732,-37.81487988,144.9660878
4,23,1624533,-37.81487988,144.9660878
5,0,1167587,-37.81874249,144.9678766
5,1,294093,-37.81874249,144.9678766
5,2,205872,-37.81874249,144.9678766
5,3,155690,-37.81874249,144.9678766
5,4,112061,-37.81874249,144.9678766
5,5,181473,-37.81874249,144.9678766
5,6,518025,-37.81874249,144.9678766
5,7,1337203,-37.81874249,144.9678766
5,8,2532962,-37.81874249,144.9678766
5,9,1930544,-37.81874249,144.9678766
5,10,2192447,-37.81874249,144.9678766
5,11,2779866,-37.81874249,144.9678766
5,12,3665801,-37.81874249,144.9678766
5,13,3744142,-37.81874249,144.9678766
5,14,3467022,-37.81874249,144.9678766
5,15,3511240,-37.81874249,144.9678766
5,16,3900159,-37.81874249,144.9678766
5,17,4786423,-37.81874249,144.9678766
5,18,3648797,-37.81874249,144.9678766
5,19,2690271,-37.81874249,144.9678766
5,20,2025927,-37.81874249,144.9678766
5,21,1994099,-37.81874249,144.9678766
5,22,1919913,-37.81874249,144.9678766
5,23,1173147,-37.81874249,144.9678766
6,0,1383829,-37.81911704,144.9655826
6,1,302647,-37.81911704,144.9655826
6,2,194400,-37.81911704,144.9655826
6,3,136558,-37.81911704,144.9655826
6,4,122151,-37.81911704,144.9655826
6,5,233413,-37.81911704,144.9655826
6,6,767604,-37.81911704,144.9655826
6,7,2054940,-37.81911704,144.9655826
6,8,4396958,-37.81911704,144.9655826
6,9,2543703,-37.81911704,144.9655826
6,10,2010364,-37.81911704,144.9655826
6,11,2443416,-37.81911704,144.9655826
6,12,3796900,-37.81911704,144.9655826
6,13,3969032,-37.81911704,144.9655826
6,14,3337268,-37.81911704,144.9655826
6,15,3385052,-37.81911704,144.9655826
