1,0,338
1,1,71
1,2,48
1,3,36
1,4,23
1,5,29
1,6,68
1,7,211
1,8,534
1,9,742
1,10,1181
1,11,1746
1,12,2745
1,13,3071
1,14,2612
1,15,2514
1,16,2396
1,17,2298
1,18,1644
1,19,989
1,20,680
1,21,440
1,22,312
1,23,199
2,0,362
2,1,83
2,2,61
2,3,49
2,4,30
2,5,30
2,6,85
2,7,242
2,8,595
2,9,856
2,10,1392
2,11,2057
2,12,3189
2,13,3624
2,14,3010
2,15,2905
2,16,2730
2,17,2423
2,18,1473
2,19,833
2,20,588
2,21,397
2,22,294
2,23,202
3,0,562
3,1,220
3,2,137
3,3,98
3,4,52
3,5,67
3,6,141
3,7,290
3,8,622
3,9,745
3,10,1002
3,11,1381
3,12,2223
3,13,2483
3,14,2312
3,15,2299
3,16,2299
3,17,2420
3,18,2285
3,19,1951
3,20,1735
3,21,1448
3,22,1084
3,23,745
4,0,722
4,1,277
4,2,190
4,3,144
4,4,92
4,5,93
4,6,165
4,7,414
4,8,896
4,9,1185
4,10,1717
4,11,2297
4,12,3246
4,13,3602
4,14,3271
4,15,3231
4,16,3153
4,17,3073
4,18,2437
4,19,1810
4,20,1494
4,21,1262
4,22,985
4,23,756
5,0,405
5,1,136
5,2,95
5,3,72
5,4,51
5,5,83
5,6,239
5,7,618
5,8,1172
5,9,893
5,10,1014
5,11,1286
5,12,1696
5,13,1732
5,14,1604
5,15,1624
5,16,1804
5,17,2214
5,18,1688
5,19,1244
5,20,937
5,21,922
5,22,888
5,23,542
6,0,480
6,1,140
6,2,90
6,3,63
6,4,56
6,5,108
6,6,355
6,7,950
6,8,2034
6,9,1177
6,10,930
6,11,1130
6,12,1757
6,13,1836
6,14,1544
6,15,1566
6,16,1882
6,17,2612
6,18,1699
6,19,1089
6,20,877
6,21,798
6,22,678
6,23,526
7,0,71
7,1,39
7,2,29
7,3,26
7,4,24
7,5,33
7,6,88
7,7,202
7,8,316
7,9,255
7,10,303
7,11,345
7,12,492
7,13,568
7,14,455
7,15,420
7,16,491
7,17,639
7,18,682
7,19,489
7,20,246
7,21,253
7,22,421
7,23,241
8,0,32
8,1,4
8,2,2
8,3,1
8,4,2
8,5,16
8,6,78
8,7,188
8,8,300
8,9,146
8,10,118
8,11,151
8,12,361
8,13,322
8,14,174
8,15,168
8,16,228
8,17,368
8,18,239
8,19,115
8,20,65
8,21,48
8,22,42
8,23,21
9,0,112
9,1,9
9,2,5
9,3,4
9,4,4
9,5,36
9,6,279
9,7,807
9,8,1625
9,9,767
9,10,323
9,11,316
9,12,740
9,13,662
9,14,386
9,15,472
9,16,947
9,17,1440
9,18,607
9,19,215
9,20,112
9,21,78
9,22,66
9,23,45
10,0,83
10,1,15
10,2,8
10,3,8
10,4,5
10,5,17
10,6,76
10,7,241
10,8,483
10,9,282
10,10,173
10,11,171
10,12,329
10,13,282
10,14,186
10,15,193
10,16,334
10,17,517
10,18,309
10,19,168
10,20,108
10,21,93
10,22,87
10,23,53
11,0,36
11,1,8
11,2,4
11,3,3
11,4,2
11,5,4
11,6,16
11,7,40
11,8,64
11,9,74
11,10,126
11,11,165
11,12,248
11,13,259
11,14,235
11,15,222
11,16,191
11,17,189
11,18,181
11,19,174
11,20,135
11,21,111
11,22,86
11,23,46
12,0,66
12,1,18
12,2,9
12,3,7
12,4,5
12,5,9
12,6,38
12,7,103
12,8,172
12,9,157
12,10,208
12,11,249
12,12,393
12,13,410
12,14,342
12,15,326
12,16,312
12,17,349
12,18,373
12,19,348
12,20,251
12,21,213
12,22,196
12,23,99
13,0,209
13,1,16
13,2,10
13,3,8
13,4,8
13,5,72
13,6,438
13,7,1495
13,8,3396
13,9,1631
13,10,668
13,11,573
13,12,802
13,13,891
13,14,651
13,15,835
13,16,1542
13,17,2423
13,18,1033
13,19,357
13,20,187
13,21,118
13,22,81
13,23,57
14,0,177
14,1,58
14,2,42
14,3,32
14,4,41
14,5,57
14,6,145
14,7,332
14,8,673
14,9,359
14,10,332
14,11,385
14,12,517
14,13,526
